序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,AUTO_stActiveParam.diBatchCount,DINT,,0,,,完整调理流程重复次数 (老化模式),,
,AUTO_stActiveParam.diBatchInterval,DINT,,0,,,"批次间隔时间 (ms, 老化模式)",,
,AUTO_stActiveParam.diTotalTimeout,DINT,,0,,,"总超时 (ms, 默认 300000)",,
,AUTO_stActiveParam.diConfirmTimeout,DINT,,0,,,"HMI 等待确认超时设置 (ms, <=0=禁用)",,
,AUTO_stActiveParam.iCycleCount,INT,,0,,," 全局循环次数：所有轴的默认循环次数       一次循环 = 执行完 arPosition 全部段",,
,AUTO_stActiveParam.iSignalMode,INT,,0,,,"全局信号模式 (0=脚踏, 1=自动)",,
121,bAgingRestart_Pause,BOOL,,OFF,不保持,私有,,,
122,bAgingDelayQ,BOOL,,OFF,不保持,私有,,,
123,diAgingDelayET,DINT,,0,不保持,私有,,,
124,INIT_bStable_Active,BOOL,,OFF,不保持,私有,,,
125,INIT_bReset_Active,BOOL,,OFF,不保持,私有,,,
126,INIT_bStable_Q,BOOL,,OFF,不保持,私有,,,
