序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
71,ERR_HOME_AXIS_FAULT,INT,,4011,不保持,私有,回零轴故障,,
72,ERR_HOME_POS_INVALID,INT,,4012,不保持,私有,回零位置无效,,
73,ERR_HOME_AXIS_TIMEOUT,INT,,4013,不保持,私有,回零轴超时,,
74,ERR_HOME_NO_POWER,INT,,4021,不保持,私有,回零时轴未上电,,
75,ERR_HOME_NOT_SAFE,INT,,4022,不保持,私有,回零条件不安全,,
76,ERR_HOME_CMD_CONFLICT,INT,,4023,不保持,私有,回零命令冲突,,
77,ERR_HOME_GLOBAL_TIMEOUT,INT,,4024,不保持,私有,全局回零超时,,
78,ERR_HOME_START_FAIL,INT,,4025,不保持,私有,回零启动失败,,
79,ERR_HOME_PUSHER_NOT_CALIBRATED,INT,,4031,不保持,私有,回零前电推杆未校准,,
80,ERR_PARAM_INVALID,INT,,5001,不保持,私有,参数无效,,
81,ERR_PARAM_RANGE,INT,,5002,不保持,私有,参数超范围,,
82,ERR_NOT_SAFE_TO_START,INT,,6004,不保持,私有,回零超时 | 单步回零超时   | L2,,
83,ERR_NOT_READY,INT,,6005,不保持,私有,回零失败 | 重试次数用尽   | L2,,
84,ERR_AUTO_GENERAL,INT,,6010,不保持,私有,自动流程通用错误,,
85,ERR_AUTO_MODE_UNSUPPORTED,INT,,6011,不保持,私有,自动模式不支持,,
86,ERR_AUTO_PARAM_INVALID,INT,,6012,不保持,私有,自动参数无效,,
87,ERR_AUTO_MODE_LOCKED,INT,,6013,不保持,私有,自动模式被锁定,,
88,ERR_RESET_TIMEOUT,INT,,6020,不保持,私有,复位超时,,
89,ERR_ILLEGAL_STATE,INT,,6099,不保持,私有,总超时   | 回零总时间超限 | L2,,
90,ERR_FATIGUE_GENERAL,INT,,6100,不保持,私有,老化测试通用错误,,
91,ERR_FATIGUE_PARAM_INVALID,INT,,6101,不保持,私有,老化测试参数无效,,
92,ERR_FATIGUE_TIMEOUT,INT,,6102,不保持,私有,老化测试超时,,
93,ERR_COND_USER_ABORT,INT,,7001,不保持,私有,调理流程用户中止,,
