序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,HMI_Raw.SeatTwist.Config.rInitPos,REAL,,0.000000,,,初始位置,,
,HMI_Raw.SeatTwist.Config.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,HMI_Raw.SeatTwist.Config.rMaxVel,REAL,,0.000000,,,最大速度,,
,HMI_Raw.SeatTwist.Config.rMinVel,REAL,,0.000000,,,最小速度,,
,HMI_Raw.SeatTwist.Config.rMaxAcc,REAL,,0.000000,,,加速度,,
,HMI_Raw.SeatTwist.Config.rMaxDec,REAL,,0.000000,,,减速度,,
,HMI_Raw.SeatTwist.Config.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,HMI_Raw.SeatTwist.Config.diTimeout,DINT,,0,,,超时报警,,
,HMI_Raw.SeatTwist.ConfigCmd,Stru_ConfigCmd,,...,,,,,
,HMI_Raw.SeatTwist.ConfigCmd.iErrorCode,INT,,0,,,操作错误,,
,HMI_Raw.SeatTwist.ConfigCmd.bLoad,BOOL,,OFF,,,"加载, 从运行区读到缓冲区",,
,HMI_Raw.SeatTwist.ConfigCmd.bApply,BOOL,,OFF,,,"应用, 缓冲区覆盖运行区",,
,HMI_Raw.SeatTwist.ConfigCmd.bSave,BOOL,,OFF,,,"保存, 运行区写入 Retain",,
,HMI_Raw.SeatTwist.ConfigCmd.bResetDefault,BOOL,,OFF,,,恢复工厂默认 (统一命名),,
,HMI_Raw.SeatTwist.ConfigCmd.bSuccess,BOOL,,OFF,,,操作成功,,
,HMI_Raw.SeatTwist.ConfigCmd.bError,BOOL,,OFF,,,操作失败 (只读),,
,HMI_Raw.SeatTwist.ConfigCmd.bPad0,BOOL,,OFF,,,加载默认值,,
,HMI_Raw.SeatTwist.ConfigCmd.bPad1,BOOL,,OFF,,,对齐填充,,
,HMI_Raw.LegAngle,Stru_HMI_Axis,,...,,,转角,,
,HMI_Raw.LegAngle.Status,Stru_AxisStatus,,...,,,,,
,HMI_Raw.LegAngle.Status.Servo,Stru_ServoAxisStatus,,...,,,MC 底层反馈,,
,HMI_Raw.LegAngle.Status.Servo.rActPosition,REAL,,0.000000,,,实际位置 (脉冲或mm,,
,HMI_Raw.LegAngle.Status.Servo.rActVelocity,REAL,,0.000000,,,实际速度,,
,HMI_Raw.LegAngle.Status.Servo.rActTorque,REAL,,0.000000,,,实际扭矩,,
,HMI_Raw.LegAngle.Status.Servo.iErrorCode,INT,,0,,,错误码 (来自 FB_运动控制),,
,HMI_Raw.LegAngle.Status.Servo.iDriveErrorCode,INT,,0,,, 驱动器错误码 (来自伺服),,
,HMI_Raw.LegAngle.Status.Servo.diDiscreteMotionTime,DINT,,0,,,定位运动时间 (ms),,
,HMI_Raw.LegAngle.Status.Servo.bEnabled,BOOL,,OFF,,,已使能 (驱动器上电),,
,HMI_Raw.LegAngle.Status.Servo.bReady,BOOL,,OFF,,,驱动就绪,,
,HMI_Raw.LegAngle.Status.Servo.bBusy,BOOL,,OFF,,,运动中 (任意运动指令执行中),,
,HMI_Raw.LegAngle.Status.Servo.bDone,BOOL,,OFF,,,动作完成 (上升沿),,
,HMI_Raw.LegAngle.Status.Servo.bStandStill,BOOL,,OFF,,,静止 (速度为零),,
,HMI_Raw.LegAngle.Status.Servo.bInPosition,BOOL,,OFF,,,到位 (位置误差在容差内),,
,HMI_Raw.LegAngle.Status.Servo.bDiscreteMotion,BOOL,,OFF,,,定位运动中,,
,HMI_Raw.LegAngle.Status.Servo.bMoveDone,BOOL,,OFF,,,运动完成 (脉冲),,
,HMI_Raw.LegAngle.Status.Servo.bZeroCommissioned,BOOL,,OFF,,,"底层 home-state 镜像 (= Axis.bhomestate, 非持久建零标志)",,
,HMI_Raw.LegAngle.Status.Servo.bZeroCommissioning,BOOL,,OFF,,,正在原点标定 (运行期通常不触发),,
,HMI_Raw.LegAngle.Status.Servo.bOriginSwitch,BOOL,,OFF,,,原点传感器信号 (物理输入),,
,HMI_Raw.LegAngle.Status.Servo.bPosLimit,BOOL,,OFF,,,正限位触发,,
,HMI_Raw.LegAngle.Status.Servo.bNegLimit,BOOL,,OFF,,,负限位触发,,
,HMI_Raw.LegAngle.Status.Servo.bError,BOOL,,OFF,,,错误激活,,
,HMI_Raw.LegAngle.Status.Servo.bStopping,BOOL,,OFF,,,错误停止中,,
,HMI_Raw.LegAngle.Status.Servo.bEncoderFault,BOOL,,OFF,,,编码器故障 (MONITOR 用于计算 bAbsPositionValid),,
,HMI_Raw.LegAngle.Status.Servo.pad0,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Status.Servo.pad1,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Status.Servo.pad2,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Status.Servo.bPad3,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Status.Force,Stru_AxisForceStatus,,...,,,力估算与超力状态,,
,HMI_Raw.LegAngle.Status.Force.rBiasPosPct,REAL,,0.000000,,,正扭矩侧静止基线 (%),,
,HMI_Raw.LegAngle.Status.Force.rBiasNegPct,REAL,,0.000000,,,负扭矩侧静止基线 (%),,
,HMI_Raw.LegAngle.Status.Force.rNetTorquePct,REAL,,0.000000,,,扣基线后的净扭矩 (%),,
,HMI_Raw.LegAngle.Status.Force.rForceRawN,REAL,,0.000000,,,未滤波牵引力估算 (N),,
,HMI_Raw.LegAngle.Status.Force.rForceFiltN,REAL,,0.000000,,,低通后牵引力估算 (N),,
,HMI_Raw.LegAngle.Status.Force.diOverForceET,DINT,,0,,,超力持续时间 (ms),,
,HMI_Raw.LegAngle.Status.Force.bForceValid,BOOL,,OFF,,,当前力估算有效,,
,HMI_Raw.LegAngle.Status.Force.bBiasPosValid,BOOL,,OFF,,,正侧基线已学习,,
,HMI_Raw.LegAngle.Status.Force.bBiasNegValid,BOOL,,OFF,,,负侧基线已学习,,
,HMI_Raw.LegAngle.Status.Force.bOverForce,BOOL,,OFF,,,超力实时态,,
,HMI_Raw.LegAngle.Status.Force.bOverForceLatched,BOOL,,OFF,,,超力锁存,,
,HMI_Raw.LegAngle.Status.Force.bPad0,BOOL,,OFF,,,对齐填充,,
,HMI_Raw.LegAngle.Status.iCurrentStep,INT,,0,,,"当前运动步骤 (0=空闲, 1-N=执行中)",,
,HMI_Raw.LegAngle.Status.iPadInt,INT,,0,,,对齐填充,,
,HMI_Raw.LegAngle.Status.diWaitingTime,DINT,,0,,,等待时间 (ms),,
,HMI_Raw.LegAngle.Status.diMotionTime,DINT,,0,,,运动用时 (ms),,
,HMI_Raw.LegAngle.Status.iErrorCode,INT,,0,,,[镜像] = Servo.iErrorCode (HMI 使用),,
,HMI_Raw.LegAngle.Status.bCalibrated,BOOL,,OFF,,,已标定 (Servo 没有此状态),,
,HMI_Raw.LegAngle.Status.bError,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Status.bWarning,BOOL,,OFF,,,警告激活 (区别于 Servo.bError),,
,HMI_Raw.LegAngle.Status.bAxisErrorStopping,BOOL,,OFF,,,轴错误停止中 (区别于 Servo.bStopping),,
,HMI_Raw.LegAngle.Status.bAtInit,BOOL,,OFF,,,在初始位置容差内,,
,HMI_Raw.LegAngle.Status.bPad0,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Cmd,Stru_AxisCmd,,...,,,,,
,HMI_Raw.LegAngle.Cmd.bEnable,BOOL,,OFF,,,"使能, 触发伺服上电",,
,HMI_Raw.LegAngle.Cmd.bReset,BOOL,,OFF,,,"复位, 清除轴错误",,
,HMI_Raw.LegAngle.Cmd.bZeroCommission,BOOL,,OFF,,,"原点标定 (仅工厂模式, 触发 MC_Home, 运行期禁止)",,
,HMI_Raw.LegAngle.Cmd.bStop,BOOL,,OFF,,,"停止, 立即减速停车",,
,HMI_Raw.LegAngle.Cmd.bMoveAbs,BOOL,,OFF,,,"绝对定位, 移动到 rTargetPo",,
,HMI_Raw.LegAngle.Cmd.bMoveRel,BOOL,,OFF,,,"相对定位, 移动 rTargetPos 距离",,
,HMI_Raw.LegAngle.Cmd.bJogPos,BOOL,,OFF,,,"正向点动, 按住持续动作",,
,HMI_Raw.LegAngle.Cmd.bJogNeg,BOOL,,OFF,,,"负向点动, 按住持续动作",,
,HMI_Raw.LegAngle.Cmd.bAutoMove,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Cmd.bMoveBuffer,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Cmd.bRequestDisable,BOOL,,OFF,,, 请求断使能 (EMERGENCY_HOME 降级复位流程),,
,HMI_Raw.LegAngle.Cmd.bPad0,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Cmd.pad1,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Cmd.pad2,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Cmd.pad3,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Cmd.pad4,BOOL,,OFF,,,,,
,HMI_Raw.LegAngle.Motion,Stru_AxisMotionParam,,...,,,,,
,HMI_Raw.LegAngle.Motion.rTargetPos,REAL,,0.000000,,,目标位置,,
,HMI_Raw.LegAngle.Motion.rTargetVel,REAL,,0.000000,,,目标速度,,
,HMI_Raw.LegAngle.Motion.rJogVel,REAL,,0.000000,,,点动速度,,
,HMI_Raw.LegAngle.Motion.rAcc,REAL,,0.000000,,,加速度,,
,HMI_Raw.LegAngle.Motion.rDec,REAL,,0.000000,,,减速度,,
,HMI_Raw.LegAngle.Motion.rInitPos,REAL,,0.000000,,,初始位置,,
,HMI_Raw.LegAngle.Motion.diTimeout,DINT,,0,,,,,
,HMI_Raw.LegAngle.Motion.rReserved,REAL,,0.000000,,,,,
,HMI_Raw.LegAngle.Config,Stru_AxisLimitConfig,,...,,,,,
,HMI_Raw.LegAngle.Config.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,HMI_Raw.LegAngle.Config.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,HMI_Raw.LegAngle.Config.rInitPos,REAL,,0.000000,,,初始位置,,
,HMI_Raw.LegAngle.Config.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,HMI_Raw.LegAngle.Config.rMaxVel,REAL,,0.000000,,,最大速度,,
,HMI_Raw.LegAngle.Config.rMinVel,REAL,,0.000000,,,最小速度,,
