序号,成员变量名,数据类型,注释,
,Condition.Param.ChestImpact.iSegmentCount,INT,"运动段数：arPosition/arVelocity 的有效元素个数       范围：1 ~ 16       ?? 必须 > 0，否则报错 1005",
,Condition.Param.ChestImpact.iPadInt,INT,,
,Condition.Param.ChestImpact.bEnabled,BOOL,"轴使能：是否启用此轴的往复运动       TRUE  = 启用，参与联动       FALSE = 禁用，不执行运动（用于 2 轴联动场景）",
,Condition.Param.ChestImpact.bOneWay,BOOL,单向还是多向,
,Condition.Param.ChestImpact.abCycleMode,BOOL[16],,
,Condition.Param.ChestImpact.abCycleMode[0],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[1],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[2],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[3],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[4],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[5],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[6],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[7],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[8],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[9],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[10],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[11],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[12],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[13],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[14],BOOL,,
,Condition.Param.ChestImpact.abCycleMode[15],BOOL,,
,Condition.Param.ChestImpact.bPad0,BOOL,,
,Condition.Param.ChestImpact.bPad1,BOOL,,
,Condition.Param.rPusherPos,REAL,"成角角度：设备成角机构的目标角度       用于成角阶段的控制       单位：度 ",
,Condition.Param.rPusherInitPos,REAL,尾板初始角度,
,Condition.Param.diBatchCount,DINT,完整调理流程重复次数 (老化模式),
,Condition.Param.diBatchInterval,DINT,"批次间隔时间 (ms, 老化模式)",
,Condition.Param.diTotalTimeout,DINT,"总超时 (ms, 默认 300000)",
,Condition.Param.diConfirmTimeout,DINT,"HMI 等待确认超时设置 (ms, <=0=禁用)",
,Condition.Param.iCycleCount,INT," 全局循环次数：所有轴的默认循环次数       一次循环 = 执行完 arPosition 全部段 ",
,Condition.Param.iSignalMode,INT,"全局信号模式 (0=脚踏, 1=自动)",
,Condition.Status,Stru_CondStatus,,
,Condition.Status.diActRunTime,DINT,"实际运行时间 (ms, 含暂停时间)",
,Condition.Status.diBatchCurrent,DINT,已完成完整批次数 (老化模式),
,Condition.Status.diBatchTarget,DINT,目标完整批次数 (老化模式),
,Condition.Status.diBatchRemainTime,DINT,批次间隔剩余时间 (ms),
,Condition.Status.iPhase,INT,调理阶段 (0=空闲 1=预备 2=运行 3=成角 9=完成),
,Condition.Status.iStep,INT,当前步骤 (阶段内细分),
,Condition.Status.iCurrentCycle,INT,当前循环次数 (FBI_Cond 写入),
,Condition.Status.iTargetCycles,INT,目标循环次数,
,Condition.Status.iErrorCode,INT,错误码,
,Condition.Status.iErrorLevel,INT,"错误等级: 0=L0信息, 1=L1警告, 2=L2严重",
,Condition.Status.iParamError,INT,参数验证错误码,
,Condition.Status.iParamErrorAxis,INT,参数错误所在轴 (1=Chest 2=Leg 3=Seat 4=Tail),
,Condition.Status.iParamErrorField,INT,错误字段索引,
,Condition.Status.pad_int,INT,,
,Condition.Status.bRunning,BOOL,调理进行中,
,Condition.Status.bDone,BOOL,调理已完成,
,Condition.Status.bPaused,BOOL,暂停中,
,Condition.Status.bError,BOOL,错误激活,
,Condition.Status.bBusy,BOOL,"任意动作进行中",
,Condition.Status.bWaitingAngle,BOOL,等待成角,
,Condition.Status.bHoming,BOOL,回零中,
,Condition.Status.bAngleDone,BOOL,成角已完成,
,Condition.Status.bWaitingSignal,BOOL,等待脚踏信号,
,Condition.Status.bMoving,BOOL,往复动作中,
,Condition.Status.bHomeDone,BOOL,回零完成,
,Condition.Status.bManualStop,BOOL,手动停止,
,Condition.Status.bEmergencyStop,BOOL,紧急中止,
,Condition.Status.bParamValid,BOOL,参数校验通过,
,Condition.Status.bApplyDone,BOOL, 参数应用完成,
,Condition.Status.bResetDone,BOOL,调理复位完成,
,Condition.Status.bBatchDone,BOOL,批量运行完成 (老化模式),
,Condition.ParamCmd,Stru_ConfigCmd,,
,Condition.ParamCmd.iErrorCode,INT,操作错误,
,Condition.ParamCmd.bLoad,BOOL,"加载, 从运行区读到缓冲区",
,Condition.ParamCmd.bApply,BOOL,"应用, 缓冲区覆盖运行区",
,Condition.ParamCmd.bSave,BOOL,"保存, 运行区写入 Retain",
,Condition.ParamCmd.bResetDefault,BOOL,恢复工厂默认 (统一命名),
,Condition.ParamCmd.bSuccess,BOOL,操作成功,
,Condition.ParamCmd.bError,BOOL,操作失败 (只读),
,Condition.ParamCmd.bPad0,BOOL,加载默认值,
,Condition.ParamCmd.bPad1,BOOL,对齐填充,
2,Sys,Stru_HMI_Sys,系统,
,Sys.Cmd,Stru_HMI_SysCmd,,
,Sys.Cmd.iWorkMode,INT,,
,Sys.Cmd.iResetMode,INT,,
,Sys.Cmd.iHomingMode,INT,,
,Sys.Cmd.iUserRole,INT,,
,Sys.Cmd.iAuthCode,INT,,
,Sys.Cmd.arReservedInt,INT[2],,
,Sys.Cmd.arReservedInt[0],INT,,
,Sys.Cmd.arReservedInt[1],INT,,
,Sys.Cmd.bServiceModeReq,BOOL,,
,Sys.Cmd.bHomingReq,BOOL,,
,Sys.Cmd.bStopReq,BOOL,,
,Sys.Cmd.bPause,BOOL,,
,Sys.Cmd.bResume,BOOL,,
,Sys.Cmd.bAutoStartReq,BOOL,,
,Sys.Cmd.bCalibrateReq,BOOL,,
,Sys.Cmd.bResetReq,BOOL,,
,Sys.Cmd.bAckErrorReq,BOOL,,
,Sys.Cmd.bEmergencyStopReq,BOOL,,
,Sys.Cmd.bInitializeReq,BOOL,,
,Sys.Cmd.bServiceMechHomeReq,BOOL,,
,Sys.Cmd.bSelfTestConfirm,BOOL,,
,Sys.Cmd.bSelfTestSkip,BOOL,,
,Sys.Cmd.bAllPowerOffReq,BOOL,,
,Sys.Cmd.bAllPowerOnReq,BOOL,,
,Sys.Cmd.bRevalidateParams,BOOL,,
,Sys.Cmd.bServiceAuthConfirm,BOOL,,
,Sys.Cmd.bNoLoadConfirm,BOOL,,
,Sys.Cmd.bStartSelfTestReq,BOOL,,
,Sys.Cmd.bServiceDoneReq,BOOL,,
,Sys.Cmd.bReadyCheckReq,BOOL,,
,Sys.Cmd.bQuickStartReq,BOOL,,
,Sys.Cmd.bForceSkipSelfTestReq,BOOL,,
,Sys.Cmd.bClearZeroRetainReq,BOOL,,
,Sys.Cmd.bLearnImpactBiasReq,BOOL,,
,Sys.Cmd.bPadHmi0,BOOL,,
,Sys.Status,Stru_HMI_SysDisplay,,
,Sys.Status.rTailDriftPulse,REAL,,
,Sys.Status.diUpTime,DINT,,
,Sys.Status.diReadyCheckResult,DINT,,
,Sys.Status.iState,INT,,
,Sys.Status.iPhase,INT,,
,Sys.Status.iInitErrorCode,INT,,
,Sys.Status.iErrorCode,INT,,
,Sys.Status.iErrorSubCode,INT,,
,Sys.Status.iErrorLevel,INT,,
,Sys.Status.iErrorSource,INT,,
,Sys.Status.iHealthLevel,INT,,
,Sys.Status.iTaskPhase,INT,,
,Sys.Status.iBlockReason,INT,,
,Sys.Status.iWorkMode,INT,,
,Sys.Status.iPadInt,BOOL,,
,Sys.Status.bInitialized,BOOL,,
,Sys.Status.bParamInitialized,BOOL,,
,Sys.Status.bAutoProcessRunning,BOOL,,
,Sys.Status.bPowerOn,BOOL,,
,Sys.Status.bPoweringUp,BOOL,,
,Sys.Status.bNeedReset,BOOL,,
,Sys.Status.bTailSensorAtBoot,BOOL,,
,Sys.Status.bHealthCheckSkipped,BOOL,,
