序号,成员变量名,数据类型,注释,
,ParamBuffer.ChestImpact.arVelocity[2],REAL,,
,ParamBuffer.ChestImpact.arVelocity[3],REAL,,
,ParamBuffer.ChestImpact.arVelocity[4],REAL,,
,ParamBuffer.ChestImpact.arVelocity[5],REAL,,
,ParamBuffer.ChestImpact.arVelocity[6],REAL,,
,ParamBuffer.ChestImpact.arVelocity[7],REAL,,
,ParamBuffer.ChestImpact.arVelocity[8],REAL,,
,ParamBuffer.ChestImpact.arVelocity[9],REAL,,
,ParamBuffer.ChestImpact.arVelocity[10],REAL,,
,ParamBuffer.ChestImpact.arVelocity[11],REAL,,
,ParamBuffer.ChestImpact.arVelocity[12],REAL,,
,ParamBuffer.ChestImpact.arVelocity[13],REAL,,
,ParamBuffer.ChestImpact.arVelocity[14],REAL,,
,ParamBuffer.ChestImpact.arVelocity[15],REAL,,
,ParamBuffer.ChestImpact.rAcc,REAL,,
,ParamBuffer.ChestImpact.rDec,REAL,,
,ParamBuffer.ChestImpact.rInitialPosition,REAL,,
,ParamBuffer.ChestImpact.rReserved,REAL,,
,ParamBuffer.ChestImpact.iVelocityMode,INT,,
,ParamBuffer.ChestImpact.iCycleModeLen,INT,,
,ParamBuffer.ChestImpact.iCycleCount,INT,,
,ParamBuffer.ChestImpact.iSignalMode,INT,,
,ParamBuffer.ChestImpact.iSegmentCount,INT,,
,ParamBuffer.ChestImpact.iPadInt,INT,,
,ParamBuffer.ChestImpact.bEnabled,BOOL,,
,ParamBuffer.ChestImpact.bOneWay,BOOL,,
,ParamBuffer.ChestImpact.abCycleMode,BOOL[16],,
,ParamBuffer.ChestImpact.abCycleMode[0],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[1],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[2],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[3],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[4],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[5],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[6],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[7],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[8],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[9],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[10],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[11],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[12],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[13],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[14],BOOL,,
,ParamBuffer.ChestImpact.abCycleMode[15],BOOL,,
,ParamBuffer.ChestImpact.bPad0,BOOL,,
,ParamBuffer.ChestImpact.bPad1,BOOL,,
,ParamBuffer.rPusherPos,REAL,,
,ParamBuffer.rPusherInitPos,REAL,,
,ParamBuffer.diBatchCount,DINT,,
,ParamBuffer.diBatchInterval,DINT,,
,ParamBuffer.diTotalTimeout,DINT,,
,ParamBuffer.diConfirmTimeout,DINT,,
,ParamBuffer.iCycleCount,INT,,
,ParamBuffer.iSignalMode,INT,,
5,ParamCmd,Stru_ConfigCmd,,
,ParamCmd.iErrorCode,INT,,
,ParamCmd.bLoad,BOOL,,
,ParamCmd.bApply,BOOL,,
,ParamCmd.bSave,BOOL,,
,ParamCmd.bResetDefault,BOOL,,
,ParamCmd.bSuccess,BOOL,,
,ParamCmd.bError,BOOL,,
,ParamCmd.bPad0,BOOL,,
,ParamCmd.bPad1,BOOL,,
